arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
aredis_om/model/model.py,funcao,_validate_deep_field_segment,4,7,4,7,11,11,27.6515,38.0537,2.0,76.1075,4.2282,0.0127
aredis_om/model/model.py,funcao,_parse_projected_results,2,4,4,8,6,12,10.0,31.0196,2.0,62.0391,3.4466,0.0103
aredis_om/model/model.py,funcao,_convert_projected_fields,3,11,7,14,14,21,42.8086,79.9545,1.9091,152.6403,8.48,0.0267
aredis_om/model/model.py,funcao,_parse_projected_models,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_has_complex_projected_fields,6,12,7,13,18,20,58.5293,83.3985,3.25,271.0451,15.0581,0.0278
aredis_om/model/model.py,funcao,_parse_full_document_projection_as_dict,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,_parse_json_path_projection_as_dict,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
aredis_om/model/model.py,funcao,_fetch_projected_document_data,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,_extract_document_keys_from_search_results,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,_build_json_paths,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_field_name_to_json_path,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
aredis_om/model/model.py,funcao,_normalize_json_dict_result,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
aredis_om/model/model.py,funcao,_normalize_json_list_result,3,7,4,7,10,11,24.4064,36.5412,1.5,54.8118,3.0451,0.0122
aredis_om/model/model.py,funcao,_json_path_to_field_name,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_parse_fallback_projection_as_dict,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
aredis_om/model/model.py,funcao,_parse_full_document_projection_as_models,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_construct_nested_partial_data,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
aredis_om/model/model.py,funcao,_set_nested_value,2,3,3,4,5,7,6.7549,16.2535,1.3333,21.6713,1.204,0.0054
aredis_om/model/model.py,funcao,validate_sort_fields,4,10,6,12,14,18,41.2193,68.5324,2.4,164.4777,9.1377,0.0228
aredis_om/model/model.py,funcao,resolve_field_type,4,12,7,13,16,20,51.0196,80.0,2.1667,173.3333,9.6296,0.0267
aredis_om/model/model.py,funcao,expand_tag_value,0,0,0,0,0,0,0,0,0,0,0,0
aredis_om/model/model.py,funcao,_convert_numeric_value,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
aredis_om/model/model.py,funcao,_resolve_text_value,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
aredis_om/model/model.py,funcao,_resolve_numeric_value,1,9,8,16,10,24,28.5293,79.7263,0.8889,70.8678,3.9371,0.0266
aredis_om/model/model.py,funcao,_resolve_tag_eq_value,2,4,3,6,6,9,10.0,23.2647,1.5,34.897,1.9387,0.0078
aredis_om/model/model.py,funcao,_resolve_tag_value,1,8,7,14,9,21,24.0,66.5684,0.875,58.2474,3.236,0.0222
aredis_om/model/model.py,funcao,_resolve_geo_value,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
